Neighborhood,Safety_Score,Area,Median_sale_price,avg_price,median_price,count,latitude,longitude,payback_period
Albany Park,58.0,Irving Park/Albany Park,515000.0,138.0,119.0,64,41.96661275926675,-87.71271360962224,4328.0
Archer Heights,68.0,Bridgeport/Brighton Park,296500.0,78.0,79.5,6,41.80560580104695,-87.72704999999999,3730.0
Armour Square,32.0,Bridgeport/Brighton Park,296500.0,194.0,115.5,72,41.84959888119569,-87.63321,2567.0
Ashburn,63.0,Beverly/Morgan Park,250000.0,165.0,150.0,19,41.73536,-87.7033,1667.0
Auburn Gresham,46.0,Auburn Gresham/Chatham,153500.0,168.0,119.0,13,41.74631,-87.65483,1290.0
Austin,39.0,Austin/Belmont Cragin,290000.0,159.0,125.5,182,41.88267,-87.78317000000001,2311.0
Avalon Park,47.0,Auburn Gresham/Chatham,153500.0,65.0,65.0,1,41.73818,-87.57839,2362.0
Avondale,69.0,Logan Square/Avondale,639000.0,250.0,143.5,142,41.93587,-87.71625019938669,4453.0
Belmont Cragin,63.0,Austin/Belmont Cragin,290000.0,164.0,124.0,29,41.93488,-87.75921,2339.0
Beverly,100.0,Beverly/Morgan Park,250000.0,111.0,75.0,13,41.71291,-87.66974,3333.0
Bridgeport,73.0,Bridgeport/Brighton Park,296500.0,108.0,77.0,171,41.838128241317634,-87.64615,3851.0
Brighton Park,47.0,Bridgeport/Brighton Park,296500.0,96.0,56.5,30,41.81939,-87.693215,5248.0
Burnside,51.0,Auburn Gresham/Chatham,153500.0,200.0,200.0,1,41.72573,-87.59403,768.0
Calumet Heights,59.0,South Chicago/West Pullman,138500.0,57.0,25.0,30,41.729470000000006,-87.577755,5540.0
Chatham,58.0,Auburn Gresham/Chatham,153500.0,231.0,129.0,13,41.7470924,-87.6138747,1190.0
Chicago Lawn,53.0,Gage Park/West Lawn,275000.0,70.0,72.0,4,41.777335,-87.69330500000001,3819.0
Clearing,76.0,Gage Park/West Lawn,275000.0,359.0,399.0,14,41.779615,-87.77381468459643,689.0
Douglas,51.0,Bronzeville/Hyde Park,320000.0,168.0,135.0,74,41.833565,-87.61883499999999,2370.0
Dunning,81.0,Portage Park/Jefferson Park,355000.0,133.0,102.0,32,41.9413025,-87.79642000000001,3480.0
